operatingSystemServicePack|logonCount|cn|description|dNSHostName|whenChanged|lastLogon|whenCreated|operatingSystemVersion|displayname|operatingSystem|name
Service Pack 1||STEVE||STEVE.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-01T08:24:33.000000000|5.1 (2600)||Windows XP Professional|STEVE
Service Pack 3||NOUMANB||NoumanB.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-01T05:27:38.000000000|5.0 (2195)||Windows 2000 Server|NOUMANB
Service Pack 4||EASTERN-RDJ3CMC||eastern-rdj3cmc.eastnets.com|2008-08-28T04:34:22.000000000||2004-05-23T05:36:43.000000000|5.0 (2195)||Windows 2000 Professional|EASTERN-RDJ3CMC
Service Pack 1||EASTERN-LAPTOP1||eastern-laptop1.eastnets.com|2008-08-28T04:34:22.000000000||2004-03-31T15:22:58.000000000|5.1 (2600)||Windows XP Professional|EASTERN-LAPTOP1
Service Pack 4||ENTEST22||entest22.eastnets.com|2008-08-28T04:34:22.000000000||2004-06-08T10:09:53.000000000|5.0 (2195)||Windows 2000 Server|ENTEST22
Service Pack 4||DARREN||darren.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-01T13:31:01.000000000|5.0 (2195)||Windows 2000 Professional|DARREN
Service Pack 4||CLIENT||client.eastnets.com|2008-08-28T04:34:22.000000000||2004-04-13T08:16:03.000000000|5.0 (2195)||Windows 2000 Professional|CLIENT
||ELNAKIB||elnakib.eastnets.com|2008-08-28T04:34:22.000000000||2004-06-17T07:29:52.000000000|5.1 (2600)||Windows XP Professional|ELNAKIB
Service Pack 3||PAULINE||pauline.eastnets.com|2008-08-28T04:34:22.000000000||2003-12-01T10:07:13.000000000|5.0 (2195)||Windows 2000 Professional|PAULINE
Service Pack 1||MICHELLE16||michelle16.eastnets.com|2008-08-28T04:34:22.000000000||2003-11-30T13:01:49.000000000|5.1 (2600)||Windows XP Professional|MICHELLE16
Service Pack 4||AMJADZ||amjadz.eastnets.com|2008-08-28T04:34:22.000000000||2003-11-30T12:36:51.000000000|5.0 (2195)||Windows 2000 Professional|AMJADZ
Service Pack 1||BHARATH||Bharath.eastnets.com|2008-08-28T04:34:22.000000000||2004-01-27T06:13:06.000000000|5.1 (2600)||Windows XP Professional|BHARATH
Service Pack 4||BASELSWIFT||baselSwift.eastnets.com|2008-08-28T04:34:22.000000000||2004-08-11T08:59:36.000000000|5.0 (2195)||Windows 2000 Server|BASELSWIFT
Service Pack 1||ABURAMI||aburami.eastnets.com|2008-08-28T04:34:22.000000000||2004-08-26T08:10:03.000000000|5.1 (2600)||Windows XP Professional|ABURAMI
Service Pack 4||AYMAN||Ayman.eastnets.com|2008-08-28T04:34:22.000000000||2004-08-30T09:38:20.000000000|5.0 (2195)||Windows 2000 Professional|AYMAN
Service Pack 4||FADIJ||FadiJ.eastnets.com|2008-08-28T04:34:22.000000000||2004-07-11T13:41:29.000000000|5.0 (2195)||Windows 2000 Professional|FADIJ
Service Pack 4||EASTERNN-ATYB5S||easternn-atyb5s.eastnets.com|2008-08-28T04:34:22.000000000||2004-05-31T08:10:17.000000000|5.0 (2195)||Windows 2000 Professional|EASTERNN-ATYB5S
Service Pack 4||WS2000VM||ws2000vm.eastnets.com|2008-08-28T04:34:22.000000000||2004-09-14T14:00:03.000000000|5.0 (2195)||Windows 2000 Server|WS2000VM
Service Pack 1||DARREN-LAPTOP||darren-laptop.eastnets.com|2008-08-28T04:34:22.000000000||2004-07-05T14:23:29.000000000|5.1 (2600)||Windows XP Professional|DARREN-LAPTOP
Service Pack 4||RAMI||rami.eastnets.com|2008-08-28T04:34:22.000000000||2004-07-20T12:31:47.000000000|5.0 (2195)||Windows 2000 Server|RAMI
Service Pack 4||KHADIJA||Khadija.eastnets.com|2008-08-28T04:34:22.000000000||2003-11-30T11:48:37.000000000|5.0 (2195)||Windows 2000 Professional|KHADIJA
||LAWYER||lawyer.eastnets.com|2008-08-28T04:34:22.000000000||2004-01-11T08:53:15.000000000|5.0 (2195)||Windows 2000 Professional|LAWYER
Service Pack 4||CRMCLIENT||CRMClient.eastnets.com|2008-08-28T04:34:22.000000000||2004-09-22T07:31:46.000000000|5.0 (2195)||Windows 2000 Professional|CRMCLIENT
||JABER||jaber.eastnets.com|2008-08-28T04:34:22.000000000||2004-07-20T06:41:39.000000000|5.2 (3790)||Windows Server 2003|JABER
Service Pack 1||SEALSDEP||sealsdep.eastnets.com|2008-08-28T04:34:22.000000000||2004-07-21T10:18:52.000000000|5.1 (2600)||Windows XP Professional|SEALSDEP
Service Pack 4||LINAS||linas.eastnets.com|2008-08-28T04:34:22.000000000||2004-07-20T11:38:35.000000000|5.0 (2195)||Windows 2000 Server|LINAS
Service Pack 1||CRMDEV||crmdev.eastnets.com|2008-08-28T04:34:23.000000000||2004-03-28T07:03:47.000000000|5.1 (2600)||Windows XP Professional|CRMDEV
Service Pack 4||ENGINEER-MAI||engineer-mai.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-20T07:50:03.000000000|5.0 (2195)||Windows 2000 Server|ENGINEER-MAI
Service Pack 4||KHADIJAHM||KhadijahM.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-13T07:02:34.000000000|5.0 (2195)||Windows 2000 Professional|KHADIJAHM
Service Pack 4||RECIPTION||reciption.eastnets.com|2008-08-28T04:34:23.000000000||2003-12-02T06:50:17.000000000|5.0 (2195)||Windows 2000 Professional|RECIPTION
||SCANNER||SCANNER.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-19T09:59:16.000000000|5.0 (2195)||Windows 2000 Professional|SCANNER
Service Pack 4||OFFICE-COORD||office-coord.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-19T12:14:57.000000000|5.0 (2195)||Windows 2000 Professional|OFFICE-COORD
Service Pack 2||HOME||home.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-27T05:34:59.000000000|5.1 (2600)||Windows XP Professional|HOME
Service Pack 1||KHALED02||Khaled02.eastnets.com|2008-08-28T04:34:23.000000000||2004-02-29T08:32:47.000000000|5.1 (2600)||Windows XP Professional|KHALED02
Service Pack 1||ANAS||Anas.eastnets.com|2008-08-28T04:34:23.000000000||2003-12-04T07:41:59.000000000|5.1 (2600)||Windows XP Professional|ANAS
Service Pack 2||KARSTEN||KARSTEN.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-17T08:23:43.000000000|5.1 (2600)||Windows XP Professional|KARSTEN
Service Pack 4||SENAD||senad.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-21T05:55:13.000000000|5.0 (2195)||Windows 2000 Server|SENAD
||MMMAALI||mmmaali.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-23T06:23:47.000000000|5.2 (3790)||Windows Server 2003|MMMAALI
Service Pack 4||SENAD-N||senad-n.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-10T09:53:43.000000000|5.0 (2195)||Windows 2000 Server|SENAD-N
||BTSDEMO||BTSDEMO.eastnets.com|2008-08-28T04:34:23.000000000||2004-12-19T17:10:59.000000000|5.2 (3790)||Windows Server 2003|BTSDEMO
Service Pack 4||CBP||cbp.eastnets.com|2008-08-28T04:34:23.000000000||2004-12-21T10:23:03.000000000|5.0 (2195)||Windows 2000 Professional|CBP
Service Pack 2||BIZTALK||biztalk.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-10T10:40:46.000000000|5.2 (3790)||Windows Server 2003|BIZTALK
||WIN2KPRO||win2kpro.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-28T12:38:10.000000000|5.0 (2195)||Windows 2000 Professional|WIN2KPRO
||EBIZBASEQ1FY04||EBIZBASEQ1FY04.eastnets.com|2008-08-28T04:34:23.000000000||2005-01-05T08:38:37.000000000|5.2 (3790)||Windows Server 2003|EBIZBASEQ1FY04
||BIZTALKFADI||BIZTALKFADI.eastnets.com|2008-08-28T04:34:23.000000000||2005-01-12T10:40:24.000000000|5.2 (3790)||Windows Server 2003|BIZTALKFADI
Service Pack 4||LSALAH||lsalah.eastnets.com|2008-08-28T04:34:23.000000000||2004-09-28T07:03:01.000000000|5.0 (2195)||Windows 2000 Server|LSALAH
||BUSOLA0||BUSOLA0.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-10T08:58:40.000000000|5.1 (2600)||Windows XP Professional|BUSOLA0
Service Pack 2||MAHMOUDAWTOSH||mahmoudawtosh.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-01T06:29:02.000000000|5.1 (2600)||Windows XP Professional|MAHMOUDAWTOSH
Service Pack 4||DINA||dina.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-07T07:40:08.000000000|5.0 (2195)||Windows 2000 Server|DINA
Service Pack 2||YOUR-D6DCA04BF3|||2008-08-28T04:34:23.000000000||2005-02-10T13:48:03.000000000|5.1 (2600)||Windows XP Professional|YOUR-D6DCA04BF3
Service Pack 2||KHADIJA-EN||khadija-en.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-09T11:24:13.000000000|5.1 (2600)||Windows XP Professional|KHADIJA-EN
Service Pack 2||SAUDI||SAUDI.eastnets.com|2012-02-08T07:53:45.000000000||2005-01-09T08:13:17.000000000|5.2 (3790)||Windows Server 2003|SAUDI
Service Pack 2||JACQUES||JACQUES.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-22T10:21:56.000000000|5.1 (2600)||Windows XP Professional|JACQUES
Service Pack 4||SWIFT||swift.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-28T10:20:05.000000000|5.0 (2195)||Windows 2000 Server|SWIFT
Service Pack 4||ENINTRA||ENINTRA.eastnets.com|2008-08-28T04:34:23.000000000||2005-03-10T10:24:50.000000000|5.0 (2195)||Windows 2000 Server|ENINTRA
Service Pack 4||CHARBELK||CharbelK.eastnets.com|2008-08-28T04:34:23.000000000||2004-03-22T06:08:32.000000000|5.0 (2195)||Windows 2000 Professional|CHARBELK
Service Pack 2||MOHAMMADFNM||mohammadfnm.eastnets.com|2008-08-28T04:34:23.000000000||2005-03-22T11:32:32.000000000|5.1 (2600)||Windows XP Professional|MOHAMMADFNM
Service Pack 2||RAMAC||RAMAC.eastnets.com|2008-08-28T04:34:23.000000000||2004-01-04T05:38:11.000000000|5.1 (2600)||Windows XP Professional|RAMAC
||BACKUPS||backups.eastnets.com|2008-08-28T04:34:23.000000000||2004-12-16T09:29:38.000000000|5.2 (3790)||Windows Server 2003|BACKUPS
Service Pack 3||MMOHAMMAD||MMohammad.eastnets.com|2008-08-28T04:34:23.000000000||2005-03-23T05:24:07.000000000|5.0 (2195)||Windows 2000 Professional|MMOHAMMAD
Service Pack 3|282|SAMERM||samerm.eastnets.com|2012-03-27T08:28:00.000000000|2012-03-27 08:10:00|2004-02-24T09:19:51.000000000|5.1 (2600)||Windows XP Professional|SAMERM
Service Pack 4||DAJAWAD||dajawad.eastnets.com|2008-08-28T04:34:23.000000000||2004-12-13T08:39:33.000000000|5.0 (2195)||Windows 2000 Professional|DAJAWAD
Service Pack 4||BASELKAYYALI||baselkayyali.eastnets.com|2008-08-28T04:34:23.000000000||2004-12-20T09:05:25.000000000|5.0 (2195)||Windows 2000 Server|BASELKAYYALI
Service Pack 4||OMER||omer.eastnets.com|2008-08-28T04:34:23.000000000||2005-01-10T07:59:12.000000000|5.0 (2195)||Windows 2000 Professional|OMER
Service Pack 1||FWARDEH||fwardeh.eastnets.com|2008-08-28T04:34:23.000000000||2005-05-22T08:00:52.000000000|5.2 (3790)||Windows Server 2003|FWARDEH
Service Pack 2||EASTNETS123||EASTNETS123.eastnets.com|2008-08-28T04:34:23.000000000||2005-05-12T06:24:02.000000000|5.1 (2600)||Windows XP Professional|EASTNETS123
||BDUHEIDEL1|||2008-08-28T04:34:23.000000000||2005-06-13T13:42:40.000000000||||BDUHEIDEL1
Service Pack 1||VM2003SE-AMMAN||vm2003se-amman.eastnets.com|2008-08-28T04:34:23.000000000||2005-06-15T11:06:11.000000000|5.2 (3790)||Windows Server 2003|VM2003SE-AMMAN
Service Pack 4||MGHIZYEL||mghizyel.eastnets.com|2008-08-28T04:34:23.000000000||2004-09-28T06:36:08.000000000|5.0 (2195)||Windows 2000 Server|MGHIZYEL
Service Pack 2||MTAMEMI||Mtamemi.eastnets.com|2008-08-28T04:34:23.000000000||2004-08-01T06:51:41.000000000|5.1 (2600)||Windows XP Professional|MTAMEMI
Service Pack 4||SUKAINAC||SukainaC.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-02T06:25:10.000000000|5.0 (2195)||Windows 2000 Professional|SUKAINAC
Service Pack 1||CITRIX||citrix.eastnets.com|2008-08-28T04:34:23.000000000||2005-06-29T07:05:48.000000000|5.2 (3790)||Windows Server 2003|CITRIX
Service Pack 1||EASTNETS-URYC3A||eastnets-uryc3a.eastnets.com|2008-08-28T04:34:23.000000000||2005-07-05T10:24:28.000000000|5.2 (3790)||Windows Server 2003|EASTNETS-URYC3A
||ENMSS||enmss.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-07T12:41:11.000000000|5.2 (3790)||Windows Server 2003|ENMSS
||YASERX||YaserX.eastnets.com|2008-08-28T04:34:23.000000000||2005-01-13T07:40:18.000000000|5.2 (3790)||Windows Server 2003|YASERX
Service Pack 4||ENPRDSRV||ENPRDSRV.eastnets.com|2008-08-28T04:34:23.000000000||2005-08-08T09:23:09.000000000|5.0 (2195)||Windows 2000 Server|ENPRDSRV
Service Pack 4||DIMAH||Dimah.eastnets.com|2008-08-28T04:34:23.000000000||2004-06-27T13:27:31.000000000|5.0 (2195)||Windows 2000 Professional|DIMAH
Service Pack 2||PMORALDE||pmoralde.eastnets.com|2008-08-28T04:34:23.000000000||2005-03-14T13:14:41.000000000|5.1 (2600)||Windows XP Professional|PMORALDE
Service Pack 1||MTAYAO||mtayao.eastnets.com|2008-08-28T04:34:23.000000000||2005-06-22T13:24:13.000000000|5.1 (2600)||Windows XP Professional|MTAYAO
Service Pack 4||MOHAMMADN||mohammadn.eastnets.com|2008-08-28T04:34:23.000000000||2005-08-10T14:26:36.000000000|5.0 (2195)||Windows 2000 Server|MOHAMMADN
Service Pack 2||HAZEMM||HAZEMM.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-02T18:42:28.000000000|5.1 (2600)||Windows XP Professional|HAZEMM
Service Pack 2||PM||pm.eastnets.com|2008-08-28T04:34:23.000000000||2004-11-16T05:57:28.000000000|5.1 (2600)||Windows XP Professional|PM
Service Pack 4||RECEPTIONIST||receptionist.eastnets.com|2008-08-28T04:34:23.000000000||2005-02-21T14:57:04.000000000|5.0 (2195)||Windows 2000 Professional|RECEPTIONIST
||BIZTALKAMMAN||BizTalkAmman.eastnets.com|2008-08-28T04:34:23.000000000||2004-12-19T16:56:31.000000000|5.2 (3790)||Windows Server 2003|BIZTALKAMMAN
Service Pack 2||RRACHED||rrached.eastnets.com|2008-08-28T04:34:23.000000000||2005-03-14T09:21:47.000000000|5.1 (2600)||Windows XP Professional|RRACHED
Service Pack 2||JKARSTEN||JKarsten.eastnets.com|2008-08-28T04:34:23.000000000||2004-02-23T14:09:05.000000000|5.1 (2600)||Windows XP Professional|JKARSTEN
Service Pack 2||YASERS||YaserS.eastnets.com|2008-08-28T04:34:23.000000000||2005-09-20T11:35:30.000000000|5.1 (2600)||Windows XP Professional|YASERS
Service Pack 2||ONUR1||onur1.eastnets.com|2008-08-28T04:34:23.000000000||2005-02-16T06:33:46.000000000|5.1 (2600)||Windows XP Professional|ONUR1
Service Pack 4||SRININ||SriniN.eastnets.com|2008-08-28T04:34:23.000000000||2004-04-22T10:07:51.000000000|5.0 (2195)||Windows 2000 Professional|SRININ
||MELORIAGA||meloriaga.eastnets.com|2008-08-28T04:34:23.000000000||2005-07-07T09:35:37.000000000|5.1 (2600)||Windows XP Professional|MELORIAGA
Service Pack 4||FMUSTAFA||fmustafa.eastnets.com|2008-08-28T04:34:23.000000000||2005-08-18T11:59:14.000000000|5.0 (2195)||Windows 2000 Server|FMUSTAFA
Service Pack 4||EAST06||east06.eastnets.com|2008-08-28T04:34:23.000000000||2005-11-26T17:38:38.000000000|5.0 (2195)||Windows 2000 Server|EAST06
Service Pack 4||SENADN||senadn.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-03T05:53:30.000000000|5.0 (2195)||Windows 2000 Server|SENADN
Service Pack 4||MNASSARPRO||MnassarPro.eastnets.com|2008-08-28T04:34:23.000000000||2005-08-28T11:31:54.000000000|5.0 (2195)||Windows 2000 Professional|MNASSARPRO
Service Pack 2||SMURTAZA||smurtaza.eastnets.com|2008-08-28T04:34:23.000000000||2005-11-30T06:50:54.000000000|5.1 (2600)||Windows XP Professional|SMURTAZA
Service Pack 1||ORACLE9VM||Oracle9vm.eastnets.com|2008-08-28T04:34:23.000000000||2005-07-03T10:26:28.000000000|5.2 (3790)||Windows Server 2003|ORACLE9VM
Service Pack 2||MAHMOUDAW||mahmoudaw.eastnets.com|2008-08-28T04:34:23.000000000||2005-02-16T06:54:09.000000000|5.1 (2600)||Windows XP Professional|MAHMOUDAW
Service Pack 2||BFAMILADE||bfamilade.eastnets.com|2008-08-28T04:34:23.000000000||2005-02-15T06:07:14.000000000|5.1 (2600)||Windows XP Professional|BFAMILADE
Service Pack 4||MOBILE||Mobile.eastnets.com|2008-08-28T04:34:23.000000000||2005-03-14T09:53:44.000000000|5.0 (2195)||Windows 2000 Server|MOBILE
Service Pack 2||USER|Mohammad Shehadeh|USER.eastnets.com|2013-05-22T08:10:21.000000000||2005-03-20T06:20:04.000000000|5.1 (2600)||Windows XP Professional|USER
Service Pack 4||ELSA||ELSA.eastnets.com|2008-08-28T04:34:23.000000000||2005-12-12T08:20:11.000000000|5.0 (2195)||Windows 2000 Professional|ELSA
Service Pack 2||AMAL2||amal2.eastnets.com|2008-08-28T04:34:23.000000000||2005-11-30T15:47:21.000000000|5.1 (2600)||Windows XP Professional|AMAL2
Service Pack 2||FRONTOFFICE||FrontOffice.eastnets.com|2008-08-28T04:34:23.000000000||2005-09-08T14:39:21.000000000|5.1 (2600)||Windows XP Professional|FRONTOFFICE
Service Pack 2||AMJAD0||amjad0.eastnets.com|2008-08-28T04:34:23.000000000||2006-02-12T08:16:05.000000000|5.1 (2600)||Windows XP Professional|AMJAD0
Service Pack 2||SANA||sana.eastnets.com|2008-08-28T04:34:23.000000000||2005-11-07T11:53:07.000000000|5.1 (2600)||Windows XP Professional|SANA
Service Pack 2||IBM||IBM.eastnets.com|2008-08-28T04:34:23.000000000||2006-02-26T06:04:47.000000000|5.1 (2600)||Windows XP Professional|IBM
Service Pack 2||KHALED||khaled.eastnets.com|2008-08-28T04:34:23.000000000||2003-11-30T09:38:54.000000000|5.1 (2600)||Windows XP Professional|KHALED
Service Pack 2|6|MOHAMMAD||MOHAMMAD.eastnets.com|2008-12-16T07:46:59.000000000|2008-10-23 09:02:11|2006-03-14T13:40:38.000000000|5.1 (2600)||Windows XP Professional|MOHAMMAD
Service Pack 2||BUSOLAPTOP||busolaptop.eastnets.com|2008-08-28T04:34:23.000000000||2006-02-26T06:20:32.000000000|5.1 (2600)||Windows XP Professional|BUSOLAPTOP
Service Pack 2||DAVID2||david2.eastnets.com|2008-08-28T04:34:23.000000000||2005-12-15T08:54:42.000000000|5.1 (2600)||Windows XP Professional|DAVID2
Service Pack 4||ENAMMFS||enammfs.eastnets.com|2008-08-28T04:34:23.000000000||2004-08-02T07:52:50.000000000|5.0 (2195)||Windows 2000 Server|ENAMMFS
Service Pack 2||BUGTRACKER||BugTracker.eastnets.com|2008-08-28T04:34:23.000000000||2006-03-05T07:46:16.000000000|5.1 (2600)||Windows XP Professional|BUGTRACKER
Service Pack 2||FADWA||fadwa.eastnets.com|2008-08-28T04:34:23.000000000||2005-12-05T10:13:57.000000000|5.1 (2600)||Windows XP Professional|FADWA
Service Pack 1||AYMAN-A-HIJLEH||ayman-a-hijleh.eastnets.com|2008-08-28T04:34:23.000000000||2004-10-10T13:04:35.000000000|5.2 (3790)||Windows Server 2003|AYMAN-A-HIJLEH
Service Pack 4||NISREEN||nisreen.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-20T12:39:44.000000000|5.0 (2195)||Windows 2000 Server|NISREEN
Service Pack 2||MSAMAHA||msamaha.eastnets.com|2008-08-28T04:34:23.000000000||2006-04-19T09:29:18.000000000|5.1 (2600)||Windows XP Professional|MSAMAHA
Service Pack 2||ALSHAB||alshab.eastnets.com|2008-08-28T04:34:23.000000000||2006-02-19T11:27:55.000000000|5.1 (2600)||Windows XP Professional|ALSHAB
Service Pack 2||ELSA1||Elsa1.eastnets.com|2008-08-28T04:34:23.000000000||2005-12-05T16:11:02.000000000|5.1 (2600)||Windows XP Professional|ELSA1
Service Pack 4||TESTDC||testdc.eastnets.com|2008-08-28T04:34:23.000000000||2006-05-03T11:28:14.000000000|5.0 (2195)||Windows 2000 Server|TESTDC
Service Pack 1||CRM||crm.eastnets.com|2008-08-28T04:34:23.000000000||2006-05-08T09:40:42.000000000|5.2 (3790)||Windows Server 2003|CRM
||CLOVERLEAF||cloverleaf.eastnets.com|2008-08-28T04:34:23.000000000||2006-05-18T11:22:43.000000000|5.2 (3790)||Windows Server 2003|CLOVERLEAF
Service Pack 2||MUNA||Muna.eastnets.com|2009-09-03T05:48:25.000000000||2005-06-30T08:50:18.000000000|5.1 (2600)||Windows XP Professional|MUNA
Service Pack 1||RABUAQLIN||RAbuAqlin.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-20T07:30:25.000000000|5.2 (3790)||Windows Server 2003|RABUAQLIN
Service Pack 2||MURAD||murad.eastnets.com|2008-08-28T04:34:23.000000000||2006-06-06T05:37:42.000000000|5.1 (2600)||Windows XP Professional|MURAD
Service Pack 2||GLOBAL||Global.eastnets.com|2008-08-28T04:34:23.000000000||2006-06-08T07:16:42.000000000|5.1 (2600)||Windows XP Professional|GLOBAL
Service Pack 2||HUSSEIN||HUSSEIN.eastnets.com|2008-08-28T04:34:23.000000000||2006-04-02T16:04:48.000000000|5.1 (2600)||Windows XP Professional|HUSSEIN
Service Pack 2||ALI-HUSSIEN||ali-hussien.eastnets.com|2008-08-28T04:34:23.000000000||2006-06-19T14:59:23.000000000|5.1 (2600)||Windows XP Professional|ALI-HUSSIEN
Service Pack 2||RCHAKAKI||RCHAKAKI.eastnets.com|2008-08-28T04:34:23.000000000||2005-03-29T08:42:59.000000000|5.1 (2600)||Windows XP Professional|RCHAKAKI
Service Pack 2||CHARBEL0||charbel0.eastnets.com|2008-08-28T04:34:23.000000000||2006-04-20T09:29:10.000000000|5.1 (2600)||Windows XP Professional|CHARBEL0
Service Pack 4||ENAMMEX1||enammex1.eastnets.com|2008-08-28T04:34:23.000000000||2004-07-18T15:29:48.000000000|5.0 (2195)||Windows 2000 Server|ENAMMEX1
Service Pack 2||KAUSHIQ||kaushiq.eastnets.com|2008-08-28T04:34:23.000000000||2005-04-04T07:00:05.000000000|5.1 (2600)||Windows XP Professional|KAUSHIQ
Service Pack 4||DEVSERVER||DevServer.eastnets.com|2008-08-28T04:34:23.000000000||2006-04-17T10:28:02.000000000|5.0 (2195)||Windows 2000 Server|DEVSERVER
Service Pack 2||WAFA01||Wafa01.eastnets.com|2008-08-28T04:34:23.000000000||2006-07-24T06:18:33.000000000|5.1 (2600)||Windows XP Professional|WAFA01
Service Pack 4||MAALIVPC1||MAALIVPC1.eastnets.com|2008-08-28T04:34:23.000000000||2006-04-23T09:19:41.000000000|5.0 (2195)||Windows 2000 Server|MAALIVPC1
Service Pack 2||MSHOUBAKI||MShoubaki.eastnets.com|2008-08-28T04:34:23.000000000||2006-06-20T11:41:26.000000000|5.1 (2600)||Windows XP Professional|MSHOUBAKI
Service Pack 4||ADHAM||ADHAM.eastnets.com|2008-08-28T04:34:23.000000000||2005-11-24T05:15:55.000000000|5.0 (2195)||Windows 2000 Professional|ADHAM
Service Pack 2||SAMER||samer.eastnets.com|2008-08-28T04:34:23.000000000||2005-12-11T07:33:53.000000000|5.1 (2600)||Windows XP Professional|SAMER
Service Pack 2||RGHANEM||RGhanem.eastnets.com|2008-08-28T04:34:23.000000000||2005-10-30T06:17:08.000000000|5.1 (2600)||Windows XP Professional|RGHANEM
Service Pack 2||AQUTAISHAT||AQutaishat.eastnets.com|2008-08-28T04:34:23.000000000||2006-04-25T14:24:06.000000000|5.1 (2600)||Windows XP Professional|AQUTAISHAT
